longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,region,rooms_per_household,bedrooms_per_room,population_per_household
-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,NEAR BAY,Other,6.238137082601054,0.15579659106916466,2.109841827768014
-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,NEAR BAY,Other,8.288135593220339,0.12951601908657123,2.8022598870056497
-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,342200.0,NEAR BAY,Other,6.281853281853282,0.1720958819913952,2.1814671814671813
-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,261100.0,NEAR BAY,Other,4.970588235294118,0.1992110453648915,2.172268907563025
-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,281500.0,NEAR BAY,Other,5.477611940298507,0.19709355131698456,2.263681592039801
-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,241800.0,NEAR BAY,Other,4.772479564032698,0.2146731373108764,2.0490463215258856
-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,213500.0,NEAR BAY,Other,5.322649572649572,0.1902850260939382,2.3461538461538463
-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,191300.0,NEAR BAY,Other,4.0,0.2744252873563218,1.9827586206896552
-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,152500.0,NEAR BAY,Other,5.9395770392749245,0.17650050864699898,2.395770392749245
-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,158700.0,NEAR BAY,Other,5.343675417661098,0.20321572130415363,2.3627684964200477
-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,1.7135,159800.0,NEAR BAY,Other,4.478142076502732,0.2239170225747407,2.5382513661202184
-122.27,37.84,52.0,2436.0,541.0,1015.0,478.0,1.725,113900.0,NEAR BAY,Other,5.096234309623431,0.22208538587848933,2.1234309623430963
-122.27,37.84,52.0,2224.0,437.0,1006.0,422.0,2.6,132600.0,NEAR BAY,Other,5.270142180094787,0.19649280575539568,2.3838862559241707
-122.28,37.85,41.0,535.0,123.0,317.0,119.0,2.4038,107500.0,NEAR BAY,Other,4.495798319327731,0.22990654205607478,2.6638655462184873
-122.28,37.85,49.0,1130.0,244.0,607.0,239.0,2.4597,93800.0,NEAR BAY,Other,4.7280334728033475,0.215929203539823,2.5397489539748954
-122.28,37.84,50.0,2082.0,492.0,1131.0,473.0,1.6424,108900.0,NEAR BAY,Other,4.40169133192389,0.23631123919308358,2.3911205073995774
-122.27,37.84,48.0,1922.0,409.0,1026.0,335.0,1.7969,110400.0,NEAR BAY,Other,5.737313432835821,0.21279916753381894,3.062686567164179
-122.28,37.83,52.0,1511.0,390.0,901.0,403.0,1.4103,103900.0,NEAR BAY,Other,3.7493796526054592,0.25810721376571805,2.235732009925558
-122.26,37.83,52.0,1665.0,419.0,946.0,395.0,2.0978,155400.0,NEAR BAY,Other,4.215189873417722,0.25165165165165165,2.3949367088607594
-122.26,37.83,52.0,1443.0,311.0,660.0,292.0,3.0125,184400.0,NEAR BAY,Other,4.941780821917808,0.21552321552321552,2.26027397260274
